,Ngành,Total-M,YOY,Total-YOY,YTD-YOY,Date,Month,PreMonth,MOM
28,Gỗ và sản phẩm gỗ,197.543681,-10.143989186112037,197.543681,-10.143989186112037,2025-01-29,2025-01,2024-12,-23.236674366780335
29,Giấy các loại,154.468785,-17.01138525500508,154.468785,-17.01138525500508,2025-01-29,2025-01,2024-12,-26.093978835746086
30,Sản phẩm từ giấy,75.049702,-9.28470664866326,75.049702,-9.28470664866326,2025-01-29,2025-01,2024-12,-28.522165474024987
31,Bông,225.833221,-22.010923405296595,225.833221,-22.010923405296595,2025-01-29,2025-01,2024-12,-3.2323291879256573
32,Sợi dệt,193.458618,-12.900746377862333,193.458618,-12.900746377862333,2025-01-29,2025-01,2024-12,-18.821533867794358
33,Vải,1080.732549,-7.934410162467401,1080.732549,-7.934410162467401,2025-01-29,2025-01,2024-12,-18.755176551562016
34,"Nguyên PL dệt, may, giày dép",490.888891,-13.110068013805915,490.888891,-13.110068013805915,2025-01-29,2025-01,2024-12,-23.727861675946997
35,Thủy tinh và các SP từ thủy tinh,82.392794,-52.794946568745274,82.392794,-52.794946568745274,2025-01-29,2025-01,2024-12,-31.375792084446473
36,Phế liệu sắt thép,103.077127,-26.864777541434492,103.077127,-26.864777541434492,2025-01-29,2025-01,2024-12,-51.10971587678112
37,Sắt thép,691.288686,-34.69887663868592,691.288686,-34.69887663868592,2025-01-29,2025-01,2024-12,-36.031199629702215
38,Sản phẩm từ sắt thép,519.124238,-0.21336580998590193,519.124238,-0.21336580998590193,2025-01-29,2025-01,2024-12,-14.875752827197871
39,Kim loại thường khác,749.935317,4.088438372174139,749.935317,4.088438372174139,2025-01-29,2025-01,2024-12,-16.887449228258888
