,Hàng hóa,YOY,MOM,YTD-YOY,Date
0,CHỈ SỐ GIÁ TIÊU DÙNG,2.941689806077207,0.2869000000000028,3.6261668630451567,2024-12-29
1,Hàng ăn và dịch vụ ăn uống,3.8740547668990644,-0.12919999999999732,4.034138185647123,2024-12-29
2,Lương thực,4.5827634350818585,0.2587000000000046,12.193362253616826,2024-12-29
3,Thực phẩm,3.7230804069741765,-0.3037000000000063,2.7040241564920393,2024-12-29
4,Ăn uống ngoài gia đình,3.9465070626974352,0.13769999999999527,3.9946739411744545,2024-12-29
5,Đồ uống và thuốc lá,2.398507461654887,0.1968999999999994,2.4190420657540557,2024-12-29
6,"May mặc, mũ nón và giày dép",1.1629924620011565,0.28010000000000446,1.3963011538044583,2024-12-29
7,Nhà ở và vật liệu xây dựng,5.161606727170565,0.5348000000000042,5.2029926424768576,2024-12-29
8,Thiết bị và đồ dùng gia đình,1.485894483375148,0.16559999999999775,1.270422782220706,2024-12-29
9,Thuốc và dịch vụ y tế,5.3238185039763835,2.1888000000000005,7.161995107934203,2024-12-29
10,Dịch vụ y tế,6.597209006143359,2.8385999999999996,9.088326540337619,2024-12-29
11,Giao thông,-0.89223555095937,0.5681000000000012,0.760737350595889,2024-12-29
12,Bưu chính viễn thông,-0.6139935549859956,-0.02729999999999677,-1.0204364141911384,2024-12-29
13,Giáo dục,-1.0838741270194987,0.15640000000000498,5.369069195815939,2024-12-29
14,Dịch vụ giáo dục,-1.3972705499183462,0.16209999999999525,5.672232359625667,2024-12-29
15,"Văn hoá, giải trí và du lịch",2.310448760238444,0.1980999999999966,1.9662930200300508,2024-12-29
16,Hàng hóa và dịch vụ khác,6.894506598800334,0.21949999999999648,6.559218817386906,2024-12-29
17,CHỈ SỐ GIÁ VÀNG,31.074348535842603,-1.3826999999999998,28.638310203788905,2024-12-29
18,CHỈ SỐ GIÁ ĐÔ LA MỸ,4.310605728906538,0.0905999999999949,4.911903867493763,2024-12-29
19,LẠM PHÁT CƠ BẢN,2.8499999999999943,0.25,2.7099999999999937,2024-12-29
20,CHỈ SỐ GIÁ TIÊU DÙNG,2.7665736914010353,0.12749999999999773,3.6886172763965277,2024-11-29
21,Hàng ăn và dịch vụ ăn uống,4.118058552272899,-0.21710000000000207,4.048703451527842,2024-11-29
22,Lương thực,6.133270469083968,0.32559999999999434,12.91211216564281,2024-11-29
23,Thực phẩm,3.87341682987865,-0.5023000000000053,2.6118806271049095,2024-11-29
24,Ăn uống ngoài gia đình,3.8733255461665124,0.258899999999997,3.999053854912148,2024-11-29
25,Đồ uống và thuốc lá,2.3414813788483286,0.26420000000000243,2.4209090521273993,2024-11-29
26,"May mặc, mũ nón và giày dép",1.1389829205209026,0.21309999999999718,1.417537697493799,2024-11-29
27,Nhà ở và vật liệu xây dựng,5.056272317618578,0.8670000000000044,5.206755805950024,2024-11-29
28,Thiết bị và đồ dùng gia đình,1.4132493972931428,0.08459999999999468,1.250857145461083,2024-11-29
29,Thuốc và dịch vụ y tế,5.282797492119357,0.04980000000000473,7.330684521417567,2024-11-29
30,Dịch vụ y tế,6.54704005289139,0.0069000000000016826,9.317658298163664,2024-11-29
31,Giao thông,-3.298479961018046,-0.06680000000000064,0.9123678261340302,2024-11-29
32,Bưu chính viễn thông,-0.5680646814259234,-0.3020000000000067,-1.057303241353864,2024-11-29
33,Giáo dục,-0.8069464249976335,0.11379999999999768,5.976174551694811,2024-11-29
34,Dịch vụ giáo dục,-1.076739643428283,0.11220000000000141,6.339519922664763,2024-11-29
35,"Văn hoá, giải trí và du lịch",2.204256260869059,0.19610000000000127,1.9350635989871137,2024-11-29
36,Hàng hóa và dịch vụ khác,6.995300664561867,0.29120000000000346,6.528790308622703,2024-11-29
37,CHỈ SỐ GIÁ VÀNG,38.20176121113846,2.2638000000000034,28.41910993084906,2024-11-29
38,CHỈ SỐ GIÁ ĐÔ LA MỸ,3.6334089531589058,1.7595000000000027,4.966738911973479,2024-11-29
39,LẠM PHÁT CƠ BẢN,2.769999999999996,0.23999999999999488,2.700000000000003,2024-11-29
40,CHỈ SỐ GIÁ TIÊU DÙNG,2.89076290432115,0.33320000000000505,3.7812754178024477,2024-10-29
41,Hàng ăn và dịch vụ ăn uống,4.447161391210102,0.5507000000000062,4.041770482895615,2024-10-29
42,Lương thực,8.232014910020439,0.7682999999999964,13.613366829076114,2024-10-29
43,Thực phẩm,4.063734032066108,0.6612999999999971,2.486572765259041,2024-10-29
44,Ăn uống ngoài gia đình,3.8143742488395276,0.1856999999999971,4.01163505273648,2024-10-29
45,Đồ uống và thuốc lá,2.263192302370797,0.11369999999999436,2.4288552090953317,2024-10-29
46,"May mặc, mũ nón và giày dép",1.1282849856305859,0.08570000000000277,1.4454353357939311,2024-10-29
47,Nhà ở và vật liệu xây dựng,4.2098187449681745,0.11260000000000048,5.221816005151879,2024-10-29
48,Thiết bị và đồ dùng gia đình,1.3311741009820253,0.19639999999999702,1.2346322292137444,2024-10-29
49,Thuốc và dịch vụ y tế,8.279653847432456,0.023399999999995202,7.537651429860887,2024-10-29
50,Dịch vụ y tế,10.578608417315706,0.0,9.598652135868022,2024-10-29
51,Giao thông,-3.2469035978266447,0.6607999999999947,1.343408347842427,2024-10-29
52,Bưu chính viễn thông,-0.3737845454145514,-0.05480000000000018,-1.1060945044539636,2024-10-29
53,Giáo dục,-0.5402222568770441,0.47860000000000014,6.6794914001769286,2024-10-29
54,Dịch vụ giáo dục,-0.7705200379805888,0.5306000000000068,7.1110613503525,2024-10-29
55,"Văn hoá, giải trí và du lịch",2.0929696503317246,0.09099999999999397,1.9081833596577837,2024-10-29
56,Hàng hóa và dịch vụ khác,7.0283729014141585,0.259200000000007,6.482251291448378,2024-10-29
57,CHỈ SỐ GIÁ VÀNG,38.88301408680448,5.960899999999995,27.479767667048094,2024-10-29
58,CHỈ SỐ GIÁ ĐÔ LA MỸ,1.8935486368682746,0.6992999999999938,5.101011780211962,2024-10-29
59,LẠM PHÁT CƠ BẢN,2.680000000000007,0.23000000000000398,2.6899999999999977,2024-10-29
60,CHỈ SỐ GIÁ TIÊU DÙNG,2.6333647401144447,0.2849999999999966,3.8806957983377828,2024-09-29
61,Hàng ăn và dịch vụ ăn uống,3.942224427546307,0.9240000000000066,3.9968242867302735,2024-09-29
62,Lương thực,8.373684490301471,0.7711999999999932,14.22757332829292,2024-09-29
63,Thực phẩm,3.239588021927517,1.0609000000000037,2.312814793326808,2024-09-29
64,Ăn uống ngoài gia đình,3.8354095043425502,0.6514999999999986,4.033576043930566,2024-09-29
65,Đồ uống và thuốc lá,2.2999652407686995,0.025199999999998113,2.447278756730185,2024-09-29
66,"May mặc, mũ nón và giày dép",1.1672870788411558,0.15109999999999957,1.4807356029989478,2024-09-29
67,Nhà ở và vật liệu xây dựng,4.369913179864213,0.5194999999999936,5.334865053136895,2024-09-29
68,Thiết bị và đồ dùng gia đình,1.1658223821027889,0.14419999999999789,1.223911033888072,2024-09-29
69,Thuốc và dịch vụ y tế,8.28008686472181,0.04749999999999943,7.455521225400759,2024-09-29
70,Dịch vụ y tế,10.578829574532563,0.002300000000005298,9.490305595263493,2024-09-29
71,Giao thông,-5.331317439736836,-2.767700000000005,1.8667014104296697,2024-09-29
72,Bưu chính viễn thông,-0.4241233698949287,0.08650000000000091,-1.1871292737454127,2024-09-29
73,Giáo dục,1.2133152752137732,2.0919999999999987,7.513359150200827,2024-09-29
74,Dịch vụ giáo dục,1.212478424613849,2.3277999999999963,8.024558820646703,2024-09-29
75,"Văn hoá, giải trí và du lịch",2.0250375507552008,-0.23669999999999902,1.8876722063184133,2024-09-29
76,Hàng hóa và dịch vụ khác,6.980868407122216,0.24450000000000216,6.42174338764903,2024-09-29
77,CHỈ SỐ GIÁ VÀNG,32.273151014296076,1.879499999999993,26.271998924327406,2024-09-29
78,CHỈ SỐ GIÁ ĐÔ LA MỸ,2.4042341530240634,-1.785499999999999,5.46357178309033,2024-09-29
